VP,Produkt,Preis echt (E) oder geschätzt (G),Kosten,Klingen
1,P6,G,2,0
1,A6,G,12,0
1,A6.5,G,12,0
1,P5,G,2,0
1,A5,G,5,0
1,P7,G,2,0
1,A7,G,6,0
1,P4,G,4,10
1,A4,G,10,3
1,P3,G,10,0
1,A3,G,15,0
1,A3.5,G,15,0
1,P2,G,0,0
1,A2,G,10,0
1,P1,G,0,0
1,A1,G,10,0
2,A3,G,19,0
2,A3.5,G,19,0
2,P3,G,12,0
2,A2,G,2.5,0
2,P2,G,0,0
2,A7,G,2.5,0
2,P7,G,1.99,0
2,A4,G,30,2
2,P4,G,13,14
2,A6,G,15,0
2,A6.5,G,15,0
2,P6,G,1,0
2,A1,G,13,0
2,P1,G,0,0
2,A5,G,10,0
2,P5,G,1.5,0
3,P2,G,0,0
3,A2,G,1,0
3,P1,G,0,0
3,A1,G,15,0
3,P6,G,3,0
3,A6,G,5,0
3,A6.5,G,5,0
3,P5,G,1.5,0
3,A5,G,5,0
3,P4,G,20,12
3,A4,G,25,15
3,P3,G,7,0
3,A3,G,20,0
3,A3.5,G,20,0
3,P7,G,1,0
3,A7,G,4,0
4,A2,G,2,0
4,P2,G,0,0
4,A6,G,11,0
4,A6.5,G,11,0
4,P6,G,2.99,0
4,A7,G,8,0
4,P7,G,2.5,0
4,A4,G,25,5
4,P4,G,6.99,2.5
4,A5,G,7.5,0
4,P5,G,1.99,0
4,A1,G,0,0
4,P1,G,0,0
4,A3,G,20,0
4,A3.5,G,20,0
4,P3,G,17,0
5,P2,G,0,0
5,A2,G,2,0
5,P1,G,0,0
5,A1,G,8,0
5,P4,G,4,7
5,A4,G,10,5
5,P3,G,10,0
5,A3,G,20,0
5,A3.5,G,20,0
5,P7,G,1,0
5,A7,G,7,0
5,P6,G,0.3,0
5,A6,G,10,0
5,A6.5,G,10,0
5,P5,G,1.5,0
5,A5,G,8,0
6,A2,G,1,0
6,P2,G,0,0
6,A3,G,15,0
6,A3.5,G,15,0
6,P3,G,10,0
6,A7,G,2.5,0
6,P7,G,1,0
6,A4,G,19,3
6,P4,G,12,5
6,A5,G,6,0
6,P5,G,4,0
6,A1,G,12,0
6,P1,G,0,0
6,A6,G,10,0
6,A6.5,G,10,0
6,P6,G,1,0
7,P7,G,0.7,0
7,A7,G,5,0
7,P6,G,1,0
7,A6,G,9,0
7,A6.5,G,9,0
7,P3,G,11,0
7,A3,G,15,0
7,A3.5,G,15,0
7,P1,G,0,0
7,A1,G,8,0
7,P5,G,2,0
7,A5,G,6,0
7,P4,G,7,16
7,A4,G,25,4
7,P2,G,0,0
7,A2,G,2,0
8,A3,G,20,0
8,A3.5,G,20,0
8,P3,G,17,0
8,A5,G,5,0
8,P5,G,2,0
8,A6,G,6,0
8,A6.5,G,6,0
8,P6,G,0.39,0
8,A1,G,12,0
8,P1,G,,0
8,A7,G,3,0
8,P7,G,1,0
8,A2,G,3,0
8,P2,G,0,0
8,A4,G,13,10
8,P4,G,5,3
9,P5,G,3,0
9,A5,G,6,0
9,P1,G,0,0
9,A1,G,10,0
9,P4,G,10,15
9,A4,G,20,6
9,P3,G,10,0
9,A3,G,15,0
9,A3.5,G,15,0
9,P2,G,0,0
9,A2,G,3,0
9,P7,G,2,0
9,A7,G,3,0
9,P6,G,1,0
9,A6,G,10,0
9,A6.5,G,10,0
