VP,VB,Geschlecht,Produkt,Frage,Antwort_1,Antwort_2,Antwort_3,Antwort_4,Antwort_5,Antwort_6,Antwort_7,Antwort_8,Antwort_9,Antwort_10
1,Ökonomisch,w,A1,B1_Welche Infos,Sensorische Wahrnehmung,Sensorische Wahrnehmung,,,,,,,,
1,Ökonomisch,w,A2,B1_Welche Infos,Praktikabilität,,,,,,,,,
1,Ökonomisch,w,A3,B1_Welche Infos,Praktikabilität,Praktikabilität,Sensorische Wahrnehmung,,,,,,,
1,Ökonomisch,w,A4,B1_Welche Infos,,,,,,,,,,
1,Ökonomisch,w,A5,B1_Welche Infos,Funktionsweise,,,,,,,,,
1,Ökonomisch,w,A6,B1_Welche Infos,,,,,,,,,,
1,Ökonomisch,w,A7,B1_Welche Infos,Hygiene+Gesundheit,,,,,,,,,
1,Ökonomisch,w,P1,B1_Welche Infos,,,,,,,,,,
1,Ökonomisch,w,P2,B1_Welche Infos,,,,,,,,,,
1,Ökonomisch,w,P3,B1_Welche Infos,,,,,,,,,,
1,Ökonomisch,w,P4,B1_Welche Infos,,,,,,,,,,
1,Ökonomisch,w,P5,B1_Welche Infos,,,,,,,,,,
1,Ökonomisch,w,P6,B1_Welche Infos,,,,,,,,,,
1,Ökonomisch,w,P7,B1_Welche Infos,,,,,,,,,,
2,Ökologisch,w,A1,B1_Welche Infos,Inhaltsstoffe+Materialien ,,,,,,,,,
2,Ökologisch,w,A2,B1_Welche Infos,Praktikabilität,,,,,,,,,
2,Ökologisch,w,A3,B1_Welche Infos,,,,,,,,,,
2,Ökologisch,w,A4,B1_Welche Infos,,,,,,,,,,
2,Ökologisch,w,A5,B1_Welche Infos,Nachhaltigkeit+Ethik,,,,,,,,,
2,Ökologisch,w,A6,B1_Welche Infos,,,,,,,,,,
2,Ökologisch,w,A7,B1_Welche Infos,Nachhaltigkeit+Ethik,,,,,,,,,
2,Ökologisch,w,P1,B1_Welche Infos,,,,,,,,,,
2,Ökologisch,w,P2,B1_Welche Infos,,,,,,,,,,
2,Ökologisch,w,P3,B1_Welche Infos,Inhaltsstoffe+Materialien ,,,,,,,,,
2,Ökologisch,w,P4,B1_Welche Infos,,,,,,,,,,
2,Ökologisch,w,P5,B1_Welche Infos,Nachhaltigkeit+Ethik,,,,,,,,,
2,Ökologisch,w,P6,B1_Welche Infos,,,,,,,,,,
2,Ökologisch,w,P7,B1_Welche Infos,,,,,,,,,,
3,Ökologisch,w,A1,B1_Welche Infos,,,,,,,,,,
3,Ökologisch,w,A2,B1_Welche Infos,Nachhaltigkeit+Ethik,Nachhaltigkeit+Ethik,,,,,,,,
3,Ökologisch,w,A3,B1_Welche Infos,,,,,,,,,,
3,Ökologisch,w,A4,B1_Welche Infos,,,,,,,,,,
3,Ökologisch,w,A5,B1_Welche Infos,,,,,,,,,,
3,Ökologisch,w,A6,B1_Welche Infos,,,,,,,,,,
3,Ökologisch,w,A7,B1_Welche Infos,Nachhaltigkeit+Ethik,,,,,,,,,
3,Ökologisch,w,P1,B1_Welche Infos,,,,,,,,,,
3,Ökologisch,w,P2,B1_Welche Infos,,,,,,,,,,
